,ID,LOC_ID,TR_N,PROJECT,SAMPLING_DATE,DEPTH,PH,SCARBON,SCEC,SNH4,SNO3,SLNI,SLON,SBDM,SRD,SPOR,WCF,GWCST,GWCFC,GWC1B,GWCWP,WCST,WCFC,WC1B,WCWP,SMACROP,SMESOP,SMICROP,SAND,SILT,CLAY,STC,DEPTH_range,SSKS,WCAD
27,AIHUS1MADRI,AIHU,S1,MADRI,05/23/2013,20,6.86,4.136,25.2,6.143,0.568,330.364,323.653,1.488023026,2.617753516,43.15674856,37.495338,51.45986211,27.47467134,23.66151595,16.11723236,75.80645618,40.47343665,34.85620829,23.7425873,3.225400482,16.73084935,23.7425873,11.92487785,21.88517915,66.189943,Cl,40_60,5.395511442,17.39625575
28,AIHUS1MADRII,AIHU,S1,MADRII,11/09/2015,20,6.75,5.5,27.67058824,5.973,1.592,992.578,985.013,1.491900888,2.736176818,45.47498253,27.00750325,32.54202238,28.83650743,26.194302,25.64238707,48.5494721,43.02121104,39.07930242,38.25590004,2.45377149,4.765311001,18.74410059,7.011565469,17.52891367,75.45952086,Cl,0_20,3.040843089,19.99193224
29,AIHUS1MADRII,AIHU,S1,MADRII,11/09/2015,20,6.76,3.2,18.5,4.061,0.947,876.472,871.464,1.451398697,2.643425163,45.09401222,26.29683741,30.47180532,29.49926949,27.19410871,25.56337716,44.22673854,42.81520131,39.46949395,37.10265231,2.278810906,5.712548997,18.40947471,7.107489169,20.08974623,72.8027646,Cl,20_40,4.077448939,19.40906373
30,AIHUS1MADRII,AIHU,S1,MADRII,11/09/2015,20,6.87,1.28,21,3.968,0.681,994.799,990.15,1.49948445,2.659640906,43.62079306,24.19044908,31.35292862,28.24140631,25.90989965,23.66379617,47.01322892,42.3475496,38.85149163,35.48349439,1.273243459,6.864055215,14.55009217,5.642827615,13.66783795,80.68933444,Cl,40_60,2.425038729,21.08393007
31,AIHUS2MADRII,AIHU,S2,MADRII,11/09/2015,20,6.82,5.2,31.2,4.498,3.66,898.868,890.71,1.579636849,2.614948958,39.59205803,19.76401942,23.14623567,22.11478881,20.59795518,19.57554477,36.56264679,34.93333531,32.53728902,30.92225186,4.658722713,4.011083449,14.60465911,10.6450296,35.18575219,54.16921821,Cl,0_20,5.651608213,9.944270791
32,AIHUS2MADRII,AIHU,S2,MADRII,11/09/2015,20,7.2,2.14,33.1,4.216,1.482,858.889,853.191,1.596414228,2.59730026,38.53563056,20.60831782,24.97413615,22.68708187,20.59866198,19.30064142,39.86906627,36.21798028,32.88399705,30.81181857,2.317650282,5.406161706,18.31691343,10.55373927,36.49877401,52.94748672,Cl,20_40,4.282475181,9.7905797
33,AIHUS2MADRII,AIHU,S2,MADRII,11/09/2015,20,7.29,4.34,32.2,4.831,1.279,761.556,755.446,1.567891125,2.607625804,39.87284823,20.77074964,23.31449581,21.87648941,19.80118472,18.72812691,36.55459106,34.29995359,31.04610178,29.36366397,5.572894637,4.936289617,19.34898283,10.29713115,35.3227459,54.38012295,Cl,40_60,6.134224371,9.79578749
34,AIHUS4MADRI,AIHU,S4,MADRI,10/27/2014,20,6.53,10.4,26.15,11.7245,0.9889,900,887.2866,1.273940098,2.223628155,42.70894193,37.45035324,41.6751608,33.45225124,29.21865664,27.8232751,53.09165843,42.61616422,37.2228183,35.44518581,0.092777708,7.170978408,35.44518581,30.57294928,28.69964517,40.72740555,Cl,0_20,12.16426135,18.03556272
35,AIHUS4MADRI,AIHU,S4,MADRI,10/27/2014,20,6.52,8.4,27.2,7.2238,0.6673,700,692.1089,1.368606064,2.517301855,45.63202418,30.75677802,38.13241346,33.29399661,30.15462358,28.11062697,52.18825228,45.56636565,41.26980068,38.47237452,0.065658537,7.093991125,38.47237452,31.37507737,28.36806272,40.25685991,Cl,20_40,10.6237707,18.10258438
36,AIHUS4MADRI,AIHU,S4,MADRI,10/27/2014,20,7.11,5.8,29.4,4.7298,0.1037,400,395.1665,1.36573213,2.632564121,48.12160056,32.25313788,39.52708115,33.19644562,29.62030311,28.27722087,53.9768934,45.34041704,40.45687844,38.62291235,2.781183518,6.717504689,38.62291235,29.88309539,28.45023795,41.66666667,Cl,40_60,9.331473545,18.01190185
